Principales Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Datos erroneos no confiables de Sale-U,,,,-,Sin datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDC ,-,-,-,-,-,-,-,-,-,-,26,22,16,27,19,23,35,36,25,44,38,31,34,23,25,26,12,18,16,3,,Aporte,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDM ,-,-,1,11,5,6,17,8,5,19,14,22,28,20,23,23,44,37,30,41,43,33,18,15,39,35,30,31,41,12,,Historica,Año actual ,Ultimos 3 meses ,,,,,,,,,,,,,,,,,,,,,,,,,
Citas Programadas ,,,1,3,2,30,50,13,13,20,40,53,48,35,52,29,90,77,67,74,77,60,46,23,105,70,41,68,100,26,,20.27%,19.49%,19.49%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,14%,8%,24%,17%,12%,19%,25%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citas Efectivas ,,,,2,2,8,18,4,6,10,19,35,36,28,25,27,61,51,44,52,48,32,41,19,82,55,31,49,59,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7%,19%,14%,9%,14%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas ,0,0,0,0,0,2,3,0,2,3,7,4,1,3,8,5,13,14,6,15,12,11,9,6,6,7,7,7,10,1,,Cota (Ventas) Ultimos 6ms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversion ,0.00%,0.00%,0.00%,0.00%,0.00%,0.68%,1.21%,0.00%,3.39%,1.95%,2.50%,2.33%,0.54%,1.09%,2.66%,1.82%,3.66%,2.85%,1.51%,4.81%,3.70%,4.01%,2.77%,2.07%,1.39%,1.75%,1.99%,1.99%,2.48%,0.69%,,Minima ,Optima ,Maxima ,,,,,,,,,,,,,,,,,,,,,,,,,
Aporte ,0.00%,0.00%,0.00%,0.00%,0.00%,9.52%,17.65%,0.00%,8.70%,13.64%,21.88%,15.38%,5.00%,10.00%,26.67%,14.71%,32.50%,38.89%,22.22%,39.47%,30.00%,26.19%,26.47%,15.79%,20.00%,17.07%,17.07%,20.00%,27.03%,3.03%,,6,7,9,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promedio  conversion Historico ,2%,Promedio Aporte Historico,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
